Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Bind
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,Bind
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,Lotus
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,Bind
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,Ascent
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,Ascent
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,Sunset
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,Bind
Valorant Champions 2024,Group Stage,Opening (D),G2 Esports vs Paper Rex,Icebox
Valorant Champions 2024,Group Stage,Opening (D),G2 Esports vs Paper Rex,Lotus
Valorant Champions 2024,Group Stage,Opening (D),EDward Gaming vs FUT Esports,Lotus
Valorant Champions 2024,Group Stage,Opening (D),EDward Gaming vs FUT Esports,Bind
Valorant Champions 2024,Group Stage,Winner's (B),Gen.G vs Team Heretics,Abyss
Valorant Champions 2024,Group Stage,Winner's (B),Gen.G vs Team Heretics,Lotus
Valorant Champions 2024,Group Stage,Winner's (B),Gen.G vs Team Heretics,Bind
Valorant Champions 2024,Group Stage,Winner's (A),FNATIC vs DRX,Abyss
Valorant Champions 2024,Group Stage,Winner's (A),FNATIC vs DRX,Lotus
Valorant Champions 2024,Group Stage,Winner's (C),LEVIATÁN vs Trace Esports,Bind
Valorant Champions 2024,Group Stage,Winner's (C),LEVIATÁN vs Trace Esports,Sunset
Valorant Champions 2024,Group Stage,Winner's (C),LEVIATÁN vs Trace Esports,Ascent
Valorant Champions 2024,Group Stage,Winner's (D),EDward Gaming vs G2 Esports,Icebox
Valorant Champions 2024,Group Stage,Winner's (D),EDward Gaming vs G2 Esports,Haven
Valorant Champions 2024,Group Stage,Winner's (D),EDward Gaming vs G2 Esports,Bind
Valorant Champions 2024,Group Stage,Elimination (B),Sentinels vs FunPlus Phoenix,Bind
Valorant Champions 2024,Group Stage,Elimination (B),Sentinels vs FunPlus Phoenix,Lotus
Valorant Champions 2024,Group Stage,Elimination (A),Bilibili Gaming vs KRÜ Esports,Lotus
Valorant Champions 2024,Group Stage,Elimination (A),Bilibili Gaming vs KRÜ Esports,Icebox
Valorant Champions 2024,Group Stage,Elimination (C),Talon Esports vs Team Vitality,Lotus
Valorant Champions 2024,Group Stage,Elimination (C),Talon Esports vs Team Vitality,Sunset
Valorant Champions 2024,Group Stage,Elimination (D),FUT Esports vs Paper Rex,Sunset
Valorant Champions 2024,Group Stage,Elimination (D),FUT Esports vs Paper Rex,Bind
Valorant Champions 2024,Group Stage,Decider (B),Gen.G vs Sentinels,Lotus
Valorant Champions 2024,Group Stage,Decider (B),Gen.G vs Sentinels,Icebox
Valorant Champions 2024,Group Stage,Decider (A),FNATIC vs KRÜ Esports,Sunset
Valorant Champions 2024,Group Stage,Decider (A),FNATIC vs KRÜ Esports,Haven
Valorant Champions 2024,Group Stage,Decider (A),FNATIC vs KRÜ Esports,Lotus
Valorant Champions 2024,Group Stage,Decider (C),LEVIATÁN vs Team Vitality,Icebox
Valorant Champions 2024,Group Stage,Decider (C),LEVIATÁN vs Team Vitality,Sunset
Valorant Champions 2024,Group Stage,Decider (D),EDward Gaming vs Paper Rex,Icebox
Valorant Champions 2024,Group Stage,Decider (D),EDward Gaming vs Paper Rex,Sunset
Valorant Champions 2024,Group Stage,Decider (D),EDward Gaming vs Paper Rex,Lotus
Valorant Champions 2024,Playoffs,Upper Quarterfinals,DRX vs Sentinels,Sunset
Valorant Champions 2024,Playoffs,Upper Quarterfinals,DRX vs Sentinels,Haven
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Trace Esports vs EDward Gaming,Bind
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Trace Esports vs EDward Gaming,Sunset
Valorant Champions 2024,Playoffs,Upper Quarterfinals,G2 Esports vs LEVIATÁN,Icebox
Valorant Champions 2024,Playoffs,Upper Quarterfinals,G2 Esports vs LEVIATÁN,Abyss
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Team Heretics vs FNATIC,Lotus
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Team Heretics vs FNATIC,Abyss
Valorant Champions 2024,Playoffs,Lower Round 1,DRX vs Trace Esports,Lotus
Valorant Champions 2024,Playoffs,Lower Round 1,DRX vs Trace Esports,Abyss
Valorant Champions 2024,Playoffs,Lower Round 1,G2 Esports vs FNATIC,Haven
Valorant Champions 2024,Playoffs,Lower Round 1,G2 Esports vs FNATIC,Bind
Valorant Champions 2024,Playoffs,Upper Semifinals,Sentinels vs EDward Gaming,Haven
Valorant Champions 2024,Playoffs,Upper Semifinals,Sentinels vs EDward Gaming,Lotus
Valorant Champions 2024,Playoffs,Upper Semifinals,Sentinels vs EDward Gaming,Sunset
Valorant Champions 2024,Playoffs,Upper Semifinals,LEVIATÁN vs Team Heretics,Icebox
Valorant Champions 2024,Playoffs,Upper Semifinals,LEVIATÁN vs Team Heretics,Lotus
Valorant Champions 2024,Playoffs,Lower Round 2,Sentinels vs FNATIC,Sunset
Valorant Champions 2024,Playoffs,Lower Round 2,Sentinels vs FNATIC,Bind
Valorant Champions 2024,Playoffs,Lower Round 2,Sentinels vs FNATIC,Lotus
Valorant Champions 2024,Playoffs,Lower Round 2,Team Heretics vs DRX,Abyss
Valorant Champions 2024,Playoffs,Lower Round 2,Team Heretics vs DRX,Sunset
Valorant Champions 2024,Playoffs,Lower Round 2,Team Heretics vs DRX,Icebox
Valorant Champions 2024,Playoffs,Upper Final,EDward Gaming vs LEVIATÁN,Icebox
Valorant Champions 2024,Playoffs,Upper Final,EDward Gaming vs LEVIATÁN,Lotus
Valorant Champions 2024,Playoffs,Upper Final,EDward Gaming vs LEVIATÁN,Abyss
Valorant Champions 2024,Playoffs,Lower Round 3,Team Heretics vs Sentinels,Haven
Valorant Champions 2024,Playoffs,Lower Round 3,Team Heretics vs Sentinels,Icebox
Valorant Champions 2024,Playoffs,Lower Round 3,Team Heretics vs Sentinels,Abyss
Valorant Champions 2024,Playoffs,Lower Final,LEVIATÁN vs Team Heretics,Icebox
Valorant Champions 2024,Playoffs,Lower Final,LEVIATÁN vs Team Heretics,Sunset
Valorant Champions 2024,Playoffs,Lower Final,LEVIATÁN vs Team Heretics,Abyss
Valorant Champions 2024,Playoffs,Lower Final,LEVIATÁN vs Team Heretics,Lotus
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,Haven
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,Sunset
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,Lotus
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,Bind
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,Abyss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs LEVIATÁN,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs LEVIATÁN,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LEVIATÁN vs 100 Thieves,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LEVIATÁN vs 100 Thieves,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs LEVIATÁN,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs LEVIATÁN,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs LEVIATÁN,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs LEVIATÁN,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LEVIATÁN vs FURIA,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LEVIATÁN vs FURIA,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,LEVIATÁN vs KRÜ Esports,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,LEVIATÁN vs KRÜ Esports,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,LEVIATÁN vs KRÜ Esports,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,LEVIATÁN vs KRÜ Esports,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,LEVIATÁN vs KRÜ Esports,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,LEVIATÁN vs KRÜ Esports,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,LEVIATÁN vs KRÜ Esports,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs LEVIATÁN,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs LEVIATÁN,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs LEVIATÁN,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs LEVIATÁN,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,EDward Gaming vs Wolves Esports,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,EDward Gaming vs Wolves Esports,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,EDward Gaming vs Wolves Esports,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,TYLOO vs Trace Esports,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,TYLOO vs Trace Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 2,TYLOO vs Trace Esports,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Nova Esports vs Bilibili Gaming,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Nova Esports vs Bilibili Gaming,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Nova Esports vs Bilibili Gaming,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 3,JDG Esports vs FunPlus Phoenix,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 3,JDG Esports vs FunPlus Phoenix,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 3,EDward Gaming vs Dragon Ranger Gaming,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 3,EDward Gaming vs Dragon Ranger Gaming,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Nova Esports vs Wolves Esports,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Nova Esports vs Wolves Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 3,JDG Esports vs Trace Esports,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 3,JDG Esports vs Trace Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 3,JDG Esports vs Trace Esports,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Titan Esports Club vs TYLOO,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Titan Esports Club vs TYLOO,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Titan Esports Club vs TYLOO,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Gamers vs FunPlus Phoenix,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Gamers vs FunPlus Phoenix,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Gamers vs FunPlus Phoenix,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bilibili Gaming vs Dragon Ranger Gaming,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bilibili Gaming vs Dragon Ranger Gaming,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 3,EDward Gaming vs Nova Esports,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 3,EDward Gaming vs Nova Esports,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Gamers vs Trace Esports,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Gamers vs Trace Esports,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Titan Esports Club vs FunPlus Phoenix,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Titan Esports Club vs FunPlus Phoenix,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 4,TYLOO vs JDG Esports,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 4,TYLOO vs JDG Esports,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Dragon Ranger Gaming vs Wolves Esports,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Dragon Ranger Gaming vs Wolves Esports,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Trace Esports vs Titan Esports Club,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Trace Esports vs Titan Esports Club,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Trace Esports vs Titan Esports Club,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 4,EDward Gaming vs Bilibili Gaming,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 4,EDward Gaming vs Bilibili Gaming,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 4,JDG Esports vs All Gamers,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 4,JDG Esports vs All Gamers,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 4,TYLOO vs FunPlus Phoenix,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 4,TYLOO vs FunPlus Phoenix,Haven
