Tournament,Stage,Match Type,Match Name,Map
Champions Tour 2024: China Stage 2,Regular Season,Week 4,TYLOO vs FunPlus Phoenix,Ascent
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,Trace Esports vs All Gamers,Lotus
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,Trace Esports vs All Gamers,Sunset
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,JDG Esports vs Bilibili Gaming,Sunset
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,JDG Esports vs Bilibili Gaming,Icebox
Champions Tour 2024: China Stage 2,Playoffs,Upper Semifinals,FunPlus Phoenix vs Trace Esports,Ascent
Champions Tour 2024: China Stage 2,Playoffs,Upper Semifinals,FunPlus Phoenix vs Trace Esports,Haven
Champions Tour 2024: China Stage 2,Playoffs,Upper Semifinals,EDward Gaming vs Bilibili Gaming,Sunset
Champions Tour 2024: China Stage 2,Playoffs,Upper Semifinals,EDward Gaming vs Bilibili Gaming,Bind
Champions Tour 2024: China Stage 2,Playoffs,Upper Semifinals,EDward Gaming vs Bilibili Gaming,Lotus
Champions Tour 2024: China Stage 2,Playoffs,Upper Final,Trace Esports vs EDward Gaming,Sunset
Champions Tour 2024: China Stage 2,Playoffs,Upper Final,Trace Esports vs EDward Gaming,Abyss
Champions Tour 2024: China Stage 2,Playoffs,Lower Round 1,FunPlus Phoenix vs Bilibili Gaming,Ascent
Champions Tour 2024: China Stage 2,Playoffs,Lower Round 1,FunPlus Phoenix vs Bilibili Gaming,Icebox
Champions Tour 2024: China Stage 2,Playoffs,Lower Round 1,FunPlus Phoenix vs Bilibili Gaming,Lotus
Champions Tour 2024: China Stage 2,Playoffs,Lower Final,Trace Esports vs FunPlus Phoenix,Lotus
Champions Tour 2024: China Stage 2,Playoffs,Lower Final,Trace Esports vs FunPlus Phoenix,Ascent
Champions Tour 2024: China Stage 2,Playoffs,Lower Final,Trace Esports vs FunPlus Phoenix,Abyss
Champions Tour 2024: China Stage 2,Playoffs,Lower Final,Trace Esports vs FunPlus Phoenix,Bind
Champions Tour 2024: China Stage 2,Playoffs,Lower Final,Trace Esports vs FunPlus Phoenix,Haven
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,EDward Gaming vs FunPlus Phoenix,Sunset
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,EDward Gaming vs FunPlus Phoenix,Abyss
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,EDward Gaming vs FunPlus Phoenix,Haven
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,EDward Gaming vs FunPlus Phoenix,Icebox
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,EDward Gaming vs FunPlus Phoenix,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,ZETA DIVISION vs DRX,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,ZETA DIVISION vs DRX,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,ZETA DIVISION vs DRX,Breeze
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Team Secret vs BLEED,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Team Secret vs BLEED,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Team Secret vs BLEED,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,T1 vs Gen.G,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,T1 vs Gen.G,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,T1 vs Gen.G,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Paper Rex vs Talon Esports,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Paper Rex vs Talon Esports,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Rex Regum Qeon vs DetonatioN FocusMe,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Rex Regum Qeon vs DetonatioN FocusMe,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Team Secret vs Global Esports,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 1,Team Secret vs Global Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Talon Esports vs Rex Regum Qeon,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Talon Esports vs Rex Regum Qeon,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Talon Esports vs Rex Regum Qeon,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Paper Rex vs DRX,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Paper Rex vs DRX,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Paper Rex vs DRX,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Global Esports vs BLEED,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Global Esports vs BLEED,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,DetonatioN FocusMe vs ZETA DIVISION,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,DetonatioN FocusMe vs ZETA DIVISION,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,DetonatioN FocusMe vs ZETA DIVISION,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,DRX vs Rex Regum Qeon,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,DRX vs Rex Regum Qeon,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Team Secret vs T1,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Team Secret vs T1,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 2,Team Secret vs T1,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Talon Esports vs DetonatioN FocusMe,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Talon Esports vs DetonatioN FocusMe,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,ZETA DIVISION vs Rex Regum Qeon,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,ZETA DIVISION vs Rex Regum Qeon,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Haven
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Ascent
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Icebox
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Lotus
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs Team Vitality,Icebox
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs Team Vitality,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs Team Vitality,Bind
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Semifinals,FUT Esports vs FNATIC,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Semifinals,FUT Esports vs FNATIC,Haven
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Final,Team Vitality vs FNATIC,Lotus
Champions Tour 2024: EMEA Stage 2,Playoffs,Upper Final,Team Vitality vs FNATIC,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Round 1,Team Heretics vs FUT Esports,Abyss
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Round 1,Team Heretics vs FUT Esports,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Final,Team Vitality vs Team Heretics,Icebox
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Final,Team Vitality vs Team Heretics,Sunset
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Final,Team Vitality vs Team Heretics,Lotus
Champions Tour 2024: EMEA Stage 2,Playoffs,Lower Final,Team Vitality vs Team Heretics,Haven
Champions Tour 2024: EMEA Stage 2,Playoffs,Grand Final,FNATIC vs Team Vitality,Haven
Champions Tour 2024: EMEA Stage 2,Playoffs,Grand Final,FNATIC vs Team Vitality,Ascent
Champions Tour 2024: EMEA Stage 2,Playoffs,Grand Final,FNATIC vs Team Vitality,Lotus
Champions Tour 2024: EMEA Stage 2,Playoffs,Grand Final,FNATIC vs Team Vitality,Bind
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,G2 Esports vs T1,Breeze
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,G2 Esports vs T1,Icebox
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,G2 Esports vs T1,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,FunPlus Phoenix vs FUT Esports,Sunset
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,FunPlus Phoenix vs FUT Esports,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,FunPlus Phoenix vs FUT Esports,Icebox
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Gen.G vs LEVIATÁN,Icebox
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Gen.G vs LEVIATÁN,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Gen.G vs LEVIATÁN,Breeze
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Team Heretics vs Dragon Ranger Gaming,Icebox
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Team Heretics vs Dragon Ranger Gaming,Sunset
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,FunPlus Phoenix vs Gen.G,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,FunPlus Phoenix vs Gen.G,Sunset
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,FunPlus Phoenix vs Gen.G,Ascent
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,G2 Esports vs Team Heretics,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,G2 Esports vs Team Heretics,Bind
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,G2 Esports vs Team Heretics,Split
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,LEVIATÁN vs T1,Breeze
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,LEVIATÁN vs T1,Sunset
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Dragon Ranger Gaming vs FUT Esports,Bind
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Dragon Ranger Gaming vs FUT Esports,Ascent
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,FunPlus Phoenix vs Team Heretics,Sunset
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,FunPlus Phoenix vs Team Heretics,Lotus
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,FunPlus Phoenix vs Team Heretics,Icebox
